0,1,2,3,4,5,6,7,8,9,10,11,Next Semester Census Enrollment,next_semester_FA,next_semester_SP,next_semester_SU
-12849.430433168307,-641.1278898579517,29.619603769803692,-113.79596303729605,-78.906371950797,22.892042595458545,6.178029357703018,-1.5174847422035531,1.2291088737474265,-0.2836243513672004,0.0023243887158935516,0.0005044780305489381,4940.0,0,0,1
27602.77849722525,51.98053074460854,-117.74092493518849,-29.69061880296109,-89.63564132158375,-19.577270734295908,-2.142171589319471,-1.615830009901,-0.5894920835204668,0.2432475219637404,0.005015931196762663,-0.004753266701131701,24250.0,1,0,0
-15648.477724674498,-797.2961292461658,-146.47992731283009,-138.3167679457155,33.854551049734155,42.088667395280424,-0.699472272509542,-0.5937409482498364,-0.9622458690059934,0.6237008408955461,0.004377346105083495,0.001134658411649641,22573.0,0,1,0
-14048.833173075061,1278.3527443389207,-777.3254822267494,111.89862984285138,-38.19015915576362,-12.08517398560259,2.499044243512694,-0.1246391251721844,-1.6275528570585975,0.11777041934750596,-0.018529737360483557,-0.00037243537331651237,4697.0,0,0,1
28193.00885394205,129.95014014907315,-19.072841280928436,27.268711187429087,-73.21117821581139,-7.480237138009945,-0.8476657847270448,1.2789749854583108,0.5809424381829679,0.10832124253109736,0.008377532854322788,0.0068067087019478495,25753.0,1,0,0
-18350.257864370935,-1316.8189581248873,182.23379242998013,-290.7717092374896,-14.084783124960744,-13.291252752057837,-3.104219748289333,0.7212810297331606,-0.2850363372326944,-0.2699298545643974,-0.001867544918694623,-0.005369944428489273,22781.0,0,1,0
-14694.880738962496,1172.108526687987,-1040.7459699305887,23.5688868965426,37.90709191985001,-2.069441854652293,-3.0633557318255873,-0.7753813604826595,2.904048411916065,0.01071234902538165,0.0005578711581409172,-0.0005281234835467047,4705.0,0,0,1
28075.549888003454,101.19608070377429,-159.05708058754016,6.43006519973635,13.378488839283854,31.217585949194152,0.04501751516420579,4.626816752307352,0.1253936304452421,-0.15374355215703228,-0.006619209464845193,-0.0024302376201398336,26206.0,1,0,0
-19380.391897243855,-1537.4730386634678,35.64364914862682,-1.6986298442171481,3.92441829342691,-16.346189079119327,-2.6176946431932695,0.46036573680910536,-0.656975384915755,-0.18996983014966226,-0.0058068885362529445,0.007958954491410677,23752.0,0,1,0
-16010.067826588827,937.2989904050175,-329.0384920993499,47.323760659523984,52.63549374926504,-19.933122313094504,2.722664109945708,1.528186010950803,-1.3846085321955695,-0.14095781984196867,0.021208002119827696,-0.0009600244714192076,4848.0,0,0,1
27701.695559661483,358.5599425524597,-13.807865461863189,91.69065322387917,56.144285078589306,23.731356889151375,-1.7746276324876114,-3.4886127876934814,-1.1940900350731316,-0.4463883619022747,0.00011589630059353815,0.000594589085832938,24001.0,1,0,0
-13663.384194030183,-1754.1076586821646,616.957889001562,447.4147288783835,-1.2284642072092933,0.2786629649493846,-0.12213577507217026,0.09246702853788928,0.6829010469908536,0.1036503992577151,0.0006441209454396316,-0.0034432112139730978,23325.0,0,1,0
-14744.588863824749,2876.8272235478817,1425.2750575537284,-50.93872105529266,-1.8205250741632677,2.055066368550933,-0.9931961070598699,0.05369252779887976,0.3186341052357246,0.05510345590470882,-0.0030145949839931654,0.0006641043934069999,5349.0,0,0,1
27817.279917106687,-859.4505045550712,313.538591931348,-130.38302596539378,99.23279412013609,-31.480694305753097,3.9197840581560426,-0.6460950978937442,0.8589725924948478,0.22210754105561487,-0.006783114131659641,0.00019375017737775874,20723.0,0,1,0
