Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Behavioral Science--L5005,,Number Retained,0 Days,All,952
2016FA,Behavioral Science--L5005,,Ftes/Ftef,0 Days,All,20.921428571
2016FA,Behavioral Science--L5005,,Current Fill Rate,0 Days,All,0.914741036
2016FA,Behavioral Science--L5005,,Census Fill Rate,0 Days,All,0.914741036
2016FA,Behavioral Science--L5005,,Census Enrollment,0 Days,All,1148
2016FA,Behavioral Science--L5005,,Number Successful,0 Days,All,728
2016FA,Behavioral Science--L5005,,Ftef,0 Days,All,5.6
2016FA,Behavioral Science--L5005,,Ftes,0 Days,All,117.16
2016FA,Behavioral Science--L5005,,Enrollment Capacity,0 Days,All,1255
2016FA,Behavioral Science--L5005,,Count of Migrated Data,0 Days,All,28
2016FA,Behavioral Science--L5005,,Current Enrollment,0 Days,All,1148
2016FA,Biological Science--B5010,,Wsch/Ftef,0 Days,All,554.642857143
2016FA,Biological Science--B5010,,Success Rate,0 Days,All,0.739776952
2016FA,Biological Science--B5010,,Sec. Count,0 Days,All,8
2016FA,Biological Science--B5010,,Retention Rate,0 Days,All,0.862453532
2016FA,Biological Science--B5010,,Number Retained,0 Days,All,232
2016FA,Biological Science--B5010,,Ftes/Ftef,0 Days,All,18.489285714
2016FA,Biological Science--B5010,,Current Fill Rate,0 Days,All,0.944055944
2016FA,Biological Science--B5010,,Census Fill Rate,0 Days,All,0.944055944
2016FA,Biological Science--B5010,,Census Enrollment,0 Days,All,270
2016FA,Biological Science--B5010,,Number Successful,0 Days,All,199
2016FA,Biological Science--B5010,,Ftef,0 Days,All,2.8
2016FA,Biological Science--B5010,,Ftes,0 Days,All,51.77
2016FA,Biological Science--B5010,,Enrollment Capacity,0 Days,All,286
2016FA,Biological Science--B5010,,Count of Migrated Data,0 Days,All,8
2016FA,Biological Science--B5010,,Current Enrollment,0 Days,All,270
2016FA,Biological Sciences--L5010,,Wsch/Ftef,0 Days,All,567.191283293
2016FA,Biological Sciences--L5010,,Success Rate,0 Days,All,0.736651584
2016FA,Biological Sciences--L5010,,Sec. Count,0 Days,All,33
2016FA,Biological Sciences--L5010,,Retention Rate,0 Days,All,0.846153846
