Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016SU,Communication--L5011,,Current Fill Rate,0 Days,All,0.985714286
2016SU,Communication--L5011,,Census Fill Rate,0 Days,All,0.985714286
2016SU,Communication--L5011,,Census Enrollment,0 Days,All,138
2016SU,Communication--L5011,,Number Successful,0 Days,All,134
2016SU,Communication--L5011,,Ftef,0 Days,All,1
2016SU,Communication--L5011,,Ftes,0 Days,All,14.3
2016SU,Communication--L5011,,Enrollment Capacity,0 Days,All,140
2016SU,Communication--L5011,,Count of Migrated Data,0 Days,All,5
2016SU,Communication--L5011,,Current Enrollment,0 Days,All,138
2016SU,Computer Science--B6007,,Wsch/Ftef,0 Days,All,220
2016SU,Computer Science--B6007,,Success Rate,0 Days,All,0.909090909
2016SU,Computer Science--B6007,,Sec. Count,0 Days,All,1
2016SU,Computer Science--B6007,,Retention Rate,0 Days,All,1
2016SU,Computer Science--B6007,,Number Retained,0 Days,All,22
2016SU,Computer Science--B6007,,Ftes/Ftef,0 Days,All,7.333333333
2016SU,Computer Science--B6007,,Current Fill Rate,0 Days,All,0.288888889
2016SU,Computer Science--B6007,,Census Fill Rate,0 Days,All,0.288888889
2016SU,Computer Science--B6007,,Census Enrollment,0 Days,All,13
2016SU,Computer Science--B6007,,Number Successful,0 Days,All,20
2016SU,Computer Science--B6007,,Ftef,0 Days,All,0.3
2016SU,Computer Science--B6007,,Ftes,0 Days,All,2.2
2016SU,Computer Science--B6007,,Enrollment Capacity,0 Days,All,45
2016SU,Computer Science--B6007,,Count of Migrated Data,0 Days,All,1
2016SU,Computer Science--B6007,,Current Enrollment,0 Days,All,13
2016SU,Computer Science--L6007,,Wsch/Ftef,0 Days,All,594.911937378
2016SU,Computer Science--L6007,,Success Rate,0 Days,All,0.753623188
2016SU,Computer Science--L6007,,Sec. Count,0 Days,All,5
2016SU,Computer Science--L6007,,Retention Rate,0 Days,All,0.869565217
2016SU,Computer Science--L6007,,Number Retained,0 Days,All,120
2016SU,Computer Science--L6007,,Ftes/Ftef,0 Days,All,19.843444227
2016SU,Computer Science--L6007,,Current Fill Rate,0 Days,All,0.772727273
2016SU,Computer Science--L6007,,Census Fill Rate,0 Days,All,0.772727273
2016SU,Computer Science--L6007,,Census Enrollment,0 Days,All,170
2016SU,Computer Science--L6007,,Number Successful,0 Days,All,104
2016SU,Computer Science--L6007,,Ftef,0 Days,All,1.533
2016SU,Computer Science--L6007,,Ftes,0 Days,All,30.42
2016SU,Computer Science--L6007,,Enrollment Capacity,0 Days,All,220
2016SU,Computer Science--L6007,,Count of Migrated Data,0 Days,All,5
2016SU,Computer Science--L6007,,Current Enrollment,0 Days,All,170
2016SU,Counseling--L7001,,Wsch/Ftef,0 Days,All,55.916775033
2016SU,Counseling--L7001,,Success Rate,0 Days,All,0.911764706
2016SU,Counseling--L7001,,Sec. Count,0 Days,All,11
2016SU,Counseling--L7001,,Retention Rate,0 Days,All,0.982352941
2016SU,Counseling--L7001,,Number Retained,0 Days,All,167
2016SU,Counseling--L7001,,Ftes/Ftef,0 Days,All,1.820546164
2016SU,Counseling--L7001,,Current Fill Rate,0 Days,All,0.115068493
2016SU,Counseling--L7001,,Census Fill Rate,0 Days,All,0.115068493
2016SU,Counseling--L7001,,Census Enrollment,0 Days,All,42
2016SU,Counseling--L7001,,Number Successful,0 Days,All,155
2016SU,Counseling--L7001,,Ftef,0 Days,All,0.769
2016SU,Counseling--L7001,,Ftes,0 Days,All,1.4
2016SU,Counseling--L7001,,Enrollment Capacity,0 Days,All,365
2016SU,Counseling--L7001,,Count of Migrated Data,0 Days,All,11
2016SU,Counseling--L7001,,Current Enrollment,0 Days,All,42
2016SU,Drama--B5012,,Wsch/Ftef,0 Days,All,495
2016SU,Drama--B5012,,Success Rate,0 Days,All,0.94
2016SU,Drama--B5012,,Sec. Count,0 Days,All,2
2016SU,Drama--B5012,,Retention Rate,0 Days,All,0.94
2016SU,Drama--B5012,,Number Retained,0 Days,All,47
2016SU,Drama--B5012,,Ftes/Ftef,0 Days,All,16.5
2016SU,Drama--B5012,,Current Fill Rate,0 Days,All,0.755555556
2016SU,Drama--B5012,,Census Fill Rate,0 Days,All,0.755555556
2016SU,Drama--B5012,,Census Enrollment,0 Days,All,68
2016SU,Drama--B5012,,Number Successful,0 Days,All,47
2016SU,Drama--B5012,,Ftef,0 Days,All,0.4
2016SU,Drama--B5012,,Ftes,0 Days,All,6.6
2016SU,Drama--B5012,,Enrollment Capacity,0 Days,All,90
2016SU,Drama--B5012,,Count of Migrated Data,0 Days,All,2
2016SU,Drama--B5012,,Current Enrollment,0 Days,All,68
2016SU,Drama--L5012,,Wsch/Ftef,0 Days,All,545.367258761
2016SU,Drama--L5012,,Success Rate,0 Days,All,0.810457516
2016SU,Drama--L5012,,Sec. Count,0 Days,All,9
2016SU,Drama--L5012,,Retention Rate,0 Days,All,0.879084967
2016SU,Drama--L5012,,Number Retained,0 Days,All,269
2016SU,Drama--L5012,,Ftes/Ftef,0 Days,All,18.070091215
2016SU,Drama--L5012,,Current Fill Rate,0 Days,All,0.787654321
2016SU,Drama--L5012,,Census Fill Rate,0 Days,All,0.787654321
2016SU,Drama--L5012,,Census Enrollment,0 Days,All,319
2016SU,Drama--L5012,,Number Successful,0 Days,All,248
2016SU,Drama--L5012,,Ftef,0 Days,All,2.083
2016SU,Drama--L5012,,Ftes,0 Days,All,37.64
2016SU,Drama--L5012,,Enrollment Capacity,0 Days,All,405
2016SU,Drama--L5012,,Count of Migrated Data,0 Days,All,9
2016SU,Drama--L5012,,Current Enrollment,0 Days,All,319
2016SU,English As a Second Language--L5016,,Wsch/Ftef,0 Days,All,176.029962547
2016SU,English As a Second Language--L5016,,Success Rate,0 Days,All,0.8
2016SU,English As a Second Language--L5016,,Sec. Count,0 Days,All,1
2016SU,English As a Second Language--L5016,,Retention Rate,0 Days,All,1
2016SU,English As a Second Language--L5016,,Number Retained,0 Days,All,10
2016SU,English As a Second Language--L5016,,Ftes/Ftef,0 Days,All,5.917602996
2016SU,English As a Second Language--L5016,,Current Fill Rate,0 Days,All,0.333333333
2016SU,English As a Second Language--L5016,,Census Fill Rate,0 Days,All,0.333333333
2016SU,English As a Second Language--L5016,,Census Enrollment,0 Days,All,12
2016SU,English As a Second Language--L5016,,Number Successful,0 Days,All,8
2016SU,English As a Second Language--L5016,,Ftef,0 Days,All,0.267
2016SU,English As a Second Language--L5016,,Ftes,0 Days,All,1.58
2016SU,English As a Second Language--L5016,,Enrollment Capacity,0 Days,All,36
2016SU,English As a Second Language--L5016,,Count of Migrated Data,0 Days,All,1
2016SU,English As a Second Language--L5016,,Current Enrollment,0 Days,All,12
2016SU,English--B5013,,Wsch/Ftef,0 Days,All,310.270270270
2016SU,English--B5013,,Success Rate,0 Days,All,0.900662252
2016SU,English--B5013,,Sec. Count,0 Days,All,6
2016SU,English--B5013,,Retention Rate,0 Days,All,0.940397351
2016SU,English--B5013,,Number Retained,0 Days,All,142
2016SU,English--B5013,,Ftes/Ftef,0 Days,All,10.345945946
2016SU,English--B5013,,Current Fill Rate,0 Days,All,0.863636364
2016SU,English--B5013,,Census Fill Rate,0 Days,All,0.863636364
2016SU,English--B5013,,Census Enrollment,0 Days,All,152
2016SU,English--B5013,,Number Successful,0 Days,All,136
2016SU,English--B5013,,Ftef,0 Days,All,1.85
2016SU,English--B5013,,Ftes,0 Days,All,19.14
2016SU,English--B5013,,Enrollment Capacity,0 Days,All,176
2016SU,English--B5013,,Count of Migrated Data,0 Days,All,6
2016SU,English--B5013,,Current Enrollment,0 Days,All,152
2016SU,English--L5013,,Wsch/Ftef,0 Days,All,306.422748061
2016SU,English--L5013,,Success Rate,0 Days,All,0.796380090
2016SU,English--L5013,,Sec. Count,0 Days,All,21
2016SU,English--L5013,,Retention Rate,0 Days,All,0.884615385
2016SU,English--L5013,,Number Retained,0 Days,All,391
2016SU,English--L5013,,Ftes/Ftef,0 Days,All,10.105388745
2016SU,English--L5013,,Current Fill Rate,0 Days,All,0.267002519
2016SU,English--L5013,,Census Fill Rate,0 Days,All,0.267002519
2016SU,English--L5013,,Census Enrollment,0 Days,All,424
2016SU,English--L5013,,Number Successful,0 Days,All,352
2016SU,English--L5013,,Ftef,0 Days,All,5.029
2016SU,English--L5013,,Ftes,0 Days,All,50.82
2016SU,English--L5013,,Enrollment Capacity,0 Days,All,1588
2016SU,English--L5013,,Count of Migrated Data,0 Days,All,21
2016SU,English--L5013,,Current Enrollment,0 Days,All,424
2016SU,Foreign Language--L5017,,Wsch/Ftef,0 Days,All,361.977186312
2016SU,Foreign Language--L5017,,Success Rate,0 Days,All,0.87
2016SU,Foreign Language--L5017,,Sec. Count,0 Days,All,6
2016SU,Foreign Language--L5017,,Retention Rate,0 Days,All,0.93
2016SU,Foreign Language--L5017,,Number Retained,0 Days,All,93
2016SU,Foreign Language--L5017,,Ftes/Ftef,0 Days,All,11.939163498
2016SU,Foreign Language--L5017,,Current Fill Rate,0 Days,All,0.490196078
2016SU,Foreign Language--L5017,,Census Fill Rate,0 Days,All,0.490196078
2016SU,Foreign Language--L5017,,Census Enrollment,0 Days,All,100
2016SU,Foreign Language--L5017,,Number Successful,0 Days,All,87
2016SU,Foreign Language--L5017,,Ftef,0 Days,All,1.315
2016SU,Foreign Language--L5017,,Ftes,0 Days,All,15.7
2016SU,Foreign Language--L5017,,Enrollment Capacity,0 Days,All,204
2016SU,Foreign Language--L5017,,Count of Migrated Data,0 Days,All,6
2016SU,Foreign Language--L5017,,Current Enrollment,0 Days,All,100
2016SU,Foreign Languages--B5017,,Wsch/Ftef,0 Days,All,242.026266417
2016SU,Foreign Languages--B5017,,Success Rate,0 Days,All,0.925373134
2016SU,Foreign Languages--B5017,,Sec. Count,0 Days,All,2
2016SU,Foreign Languages--B5017,,Retention Rate,0 Days,All,0.985074627
2016SU,Foreign Languages--B5017,,Number Retained,0 Days,All,66
2016SU,Foreign Languages--B5017,,Ftes/Ftef,0 Days,All,8.123827392
2016SU,Foreign Languages--B5017,,Current Fill Rate,0 Days,All,0.458333333
2016SU,Foreign Languages--B5017,,Census Fill Rate,0 Days,All,0.458333333
2016SU,Foreign Languages--B5017,,Census Enrollment,0 Days,All,33
2016SU,Foreign Languages--B5017,,Number Successful,0 Days,All,62
2016SU,Foreign Languages--B5017,,Ftef,0 Days,All,0.533
2016SU,Foreign Languages--B5017,,Ftes,0 Days,All,4.33
2016SU,Foreign Languages--B5017,,Enrollment Capacity,0 Days,All,72
2016SU,Foreign Languages--B5017,,Count of Migrated Data,0 Days,All,2
2016SU,Foreign Languages--B5017,,Current Enrollment,0 Days,All,33
2016SU,Humanistic Studies--B5014,,Wsch/Ftef,0 Days,All,605
2016SU,Humanistic Studies--B5014,,Success Rate,0 Days,All,0.633333333
2016SU,Humanistic Studies--B5014,,Sec. Count,0 Days,All,1
2016SU,Humanistic Studies--B5014,,Retention Rate,0 Days,All,0.9
2016SU,Humanistic Studies--B5014,,Number Retained,0 Days,All,27
2016SU,Humanistic Studies--B5014,,Ftes/Ftef,0 Days,All,20.15
2016SU,Humanistic Studies--B5014,,Current Fill Rate,0 Days,All,1
2016SU,Humanistic Studies--B5014,,Census Fill Rate,0 Days,All,1
2016SU,Humanistic Studies--B5014,,Census Enrollment,0 Days,All,40
2016SU,Humanistic Studies--B5014,,Number Successful,0 Days,All,19
2016SU,Humanistic Studies--B5014,,Ftef,0 Days,All,0.2
2016SU,Humanistic Studies--B5014,,Ftes,0 Days,All,4.03
2016SU,Humanistic Studies--B5014,,Enrollment Capacity,0 Days,All,40
2016SU,Humanistic Studies--B5014,,Count of Migrated Data,0 Days,All,1
2016SU,Humanistic Studies--B5014,,Current Enrollment,0 Days,All,40
2016SU,Humanistic Studies--L5014,,Wsch/Ftef,0 Days,All,590
2016SU,Humanistic Studies--L5014,,Success Rate,0 Days,All,0.903225806
2016SU,Humanistic Studies--L5014,,Sec. Count,0 Days,All,1
2016SU,Humanistic Studies--L5014,,Retention Rate,0 Days,All,0.903225806
2016SU,Humanistic Studies--L5014,,Number Retained,0 Days,All,28
2016SU,Humanistic Studies--L5014,,Ftes/Ftef,0 Days,All,19.65
2016SU,Humanistic Studies--L5014,,Current Fill Rate,0 Days,All,0.975
2016SU,Humanistic Studies--L5014,,Census Fill Rate,0 Days,All,0.975
2016SU,Humanistic Studies--L5014,,Census Enrollment,0 Days,All,39
2016SU,Humanistic Studies--L5014,,Number Successful,0 Days,All,28
2016SU,Humanistic Studies--L5014,,Ftef,0 Days,All,0.2
2016SU,Humanistic Studies--L5014,,Ftes,0 Days,All,3.93
2016SU,Humanistic Studies--L5014,,Enrollment Capacity,0 Days,All,40
2016SU,Humanistic Studies--L5014,,Count of Migrated Data,0 Days,All,1
2016SU,Humanistic Studies--L5014,,Current Enrollment,0 Days,All,39
2016SU,Industrial Technology--L6012,,Wsch/Ftef,0 Days,All,144.876325088
2016SU,Industrial Technology--L6012,,Success Rate,0 Days,All,0.6
2016SU,Industrial Technology--L6012,,Sec. Count,0 Days,All,1
2016SU,Industrial Technology--L6012,,Retention Rate,0 Days,All,1
2016SU,Industrial Technology--L6012,,Number Retained,0 Days,All,15
2016SU,Industrial Technology--L6012,,Ftes/Ftef,0 Days,All,4.840989399
2016SU,Industrial Technology--L6012,,Current Fill Rate,0 Days,All,0.242424242
2016SU,Industrial Technology--L6012,,Census Fill Rate,0 Days,All,0.242424242
2016SU,Industrial Technology--L6012,,Census Enrollment,0 Days,All,8
2016SU,Industrial Technology--L6012,,Number Successful,0 Days,All,9
2016SU,Industrial Technology--L6012,,Ftef,0 Days,All,0.283
2016SU,Industrial Technology--L6012,,Ftes,0 Days,All,1.37
2016SU,Industrial Technology--L6012,,Enrollment Capacity,0 Days,All,33
2016SU,Industrial Technology--L6012,,Count of Migrated Data,0 Days,All,1
2016SU,Industrial Technology--L6012,,Current Enrollment,0 Days,All,8
2016SU,Intercollegiate Athletics--L7005,,Wsch/Ftef,0 Days,All,217.830882353
2016SU,Intercollegiate Athletics--L7005,,Success Rate,0 Days,All,0.990291262
2016SU,Intercollegiate Athletics--L7005,,Sec. Count,0 Days,All,8
2016SU,Intercollegiate Athletics--L7005,,Retention Rate,0 Days,All,0.990291262
2016SU,Intercollegiate Athletics--L7005,,Number Retained,0 Days,All,102
2016SU,Intercollegiate Athletics--L7005,,Ftes/Ftef,0 Days,All,7.288602941
2016SU,Intercollegiate Athletics--L7005,,Current Fill Rate,0 Days,All,0.205128205
2016SU,Intercollegiate Athletics--L7005,,Census Fill Rate,0 Days,All,0.205128205
2016SU,Intercollegiate Athletics--L7005,,Census Enrollment,0 Days,All,80
2016SU,Intercollegiate Athletics--L7005,,Number Successful,0 Days,All,102
2016SU,Intercollegiate Athletics--L7005,,Ftef,0 Days,All,1.088
2016SU,Intercollegiate Athletics--L7005,,Ftes,0 Days,All,7.93
2016SU,Intercollegiate Athletics--L7005,,Enrollment Capacity,0 Days,All,390
2016SU,Intercollegiate Athletics--L7005,,Count of Migrated Data,0 Days,All,8
2016SU,Intercollegiate Athletics--L7005,,Current Enrollment,0 Days,All,80
2016SU,Mathematics--B5009,,Wsch/Ftef,0 Days,All,302.805280528
2016SU,Mathematics--B5009,,Success Rate,0 Days,All,0.758122744
2016SU,Mathematics--B5009,,Sec. Count,0 Days,All,11
2016SU,Mathematics--B5009,,Retention Rate,0 Days,All,0.895306859
2016SU,Mathematics--B5009,,Number Retained,0 Days,All,248
2016SU,Mathematics--B5009,,Ftes/Ftef,0 Days,All,10.099009901
2016SU,Mathematics--B5009,,Current Fill Rate,0 Days,All,0.139728097
2016SU,Mathematics--B5009,,Census Fill Rate,0 Days,All,0.139728097
2016SU,Mathematics--B5009,,Census Enrollment,0 Days,All,185
2016SU,Mathematics--B5009,,Number Successful,0 Days,All,210
2016SU,Mathematics--B5009,,Ftef,0 Days,All,3.636
2016SU,Mathematics--B5009,,Ftes,0 Days,All,36.72
2016SU,Mathematics--B5009,,Enrollment Capacity,0 Days,All,1324
2016SU,Mathematics--B5009,,Count of Migrated Data,0 Days,All,11
2016SU,Mathematics--B5009,,Current Enrollment,0 Days,All,185
2016SU,Mathematics--L5009,,Wsch/Ftef,0 Days,All,326.289791438
2016SU,Mathematics--L5009,,Success Rate,0 Days,All,0.749303621
2016SU,Mathematics--L5009,,Sec. Count,0 Days,All,21
2016SU,Mathematics--L5009,,Retention Rate,0 Days,All,0.846796657
2016SU,Mathematics--L5009,,Number Retained,0 Days,All,304
2016SU,Mathematics--L5009,,Ftes/Ftef,0 Days,All,10.872667398
2016SU,Mathematics--L5009,,Current Fill Rate,0 Days,All,0.236077482
2016SU,Mathematics--L5009,,Census Fill Rate,0 Days,All,0.236077482
2016SU,Mathematics--L5009,,Census Enrollment,0 Days,All,390
2016SU,Mathematics--L5009,,Number Successful,0 Days,All,269
2016SU,Mathematics--L5009,,Ftef,0 Days,All,7.288
2016SU,Mathematics--L5009,,Ftes,0 Days,All,79.24
2016SU,Mathematics--L5009,,Enrollment Capacity,0 Days,All,1652
2016SU,Mathematics--L5009,,Count of Migrated Data,0 Days,All,21
2016SU,Mathematics--L5009,,Current Enrollment,0 Days,All,390
2016SU,Music--B5003,,Wsch/Ftef,0 Days,All,290
2016SU,Music--B5003,,Success Rate,0 Days,All,0.944444444
2016SU,Music--B5003,,Sec. Count,0 Days,All,1
2016SU,Music--B5003,,Retention Rate,0 Days,All,0.944444444
2016SU,Music--B5003,,Number Retained,0 Days,All,17
2016SU,Music--B5003,,Ftes/Ftef,0 Days,All,9.7
2016SU,Music--B5003,,Current Fill Rate,0 Days,All,0.571428571
2016SU,Music--B5003,,Census Fill Rate,0 Days,All,0.571428571
2016SU,Music--B5003,,Census Enrollment,0 Days,All,20
2016SU,Music--B5003,,Number Successful,0 Days,All,17
2016SU,Music--B5003,,Ftef,0 Days,All,0.2
2016SU,Music--B5003,,Ftes,0 Days,All,1.94
2016SU,Music--B5003,,Enrollment Capacity,0 Days,All,35
2016SU,Music--B5003,,Count of Migrated Data,0 Days,All,1
2016SU,Music--B5003,,Current Enrollment,0 Days,All,20
2016SU,Music-L5003,,Wsch/Ftef,0 Days,All,553.267681289
2016SU,Music-L5003,,Success Rate,0 Days,All,0.684523810
2016SU,Music-L5003,,Sec. Count,0 Days,All,5
2016SU,Music-L5003,,Retention Rate,0 Days,All,0.880952381
2016SU,Music-L5003,,Number Retained,0 Days,All,148
2016SU,Music-L5003,,Ftes/Ftef,0 Days,All,17.994628469
2016SU,Music-L5003,,Current Fill Rate,0 Days,All,0.727272727
2016SU,Music-L5003,,Census Fill Rate,0 Days,All,0.727272727
2016SU,Music-L5003,,Census Enrollment,0 Days,All,200
2016SU,Music-L5003,,Number Successful,0 Days,All,115
2016SU,Music-L5003,,Ftef,0 Days,All,1.117
2016SU,Music-L5003,,Ftes,0 Days,All,20.1
2016SU,Music-L5003,,Enrollment Capacity,0 Days,All,275
2016SU,Music-L5003,,Count of Migrated Data,0 Days,All,5
2016SU,Music-L5003,,Current Enrollment,0 Days,All,200
2016SU,Nursing--L6004,,Wsch/Ftef,0 Days,All,153.846153846
2016SU,Nursing--L6004,,Success Rate,0 Days,All,0.865671642
2016SU,Nursing--L6004,,Sec. Count,0 Days,All,3
2016SU,Nursing--L6004,,Retention Rate,0 Days,All,0.955223881
2016SU,Nursing--L6004,,Number Retained,0 Days,All,64
2016SU,Nursing--L6004,,Ftes/Ftef,0 Days,All,5.192307692
2016SU,Nursing--L6004,,Current Fill Rate,0 Days,All,0.244680851
2016SU,Nursing--L6004,,Census Fill Rate,0 Days,All,0.244680851
2016SU,Nursing--L6004,,Census Enrollment,0 Days,All,23
2016SU,Nursing--L6004,,Number Successful,0 Days,All,58
2016SU,Nursing--L6004,,Ftef,0 Days,All,0.156
2016SU,Nursing--L6004,,Ftes,0 Days,All,0.81
2016SU,Nursing--L6004,,Enrollment Capacity,0 Days,All,94
2016SU,Nursing--L6004,,Count of Migrated Data,0 Days,All,3
2016SU,Nursing--L6004,,Current Enrollment,0 Days,All,23
2016SU,Physical Education--L5018,,Wsch/Ftef,0 Days,All,231.132075472
2016SU,Physical Education--L5018,,Success Rate,0 Days,All,0.963730570
2016SU,Physical Education--L5018,,Sec. Count,0 Days,All,14
2016SU,Physical Education--L5018,,Retention Rate,0 Days,All,0.968911917
2016SU,Physical Education--L5018,,Number Retained,0 Days,All,187
2016SU,Physical Education--L5018,,Ftes/Ftef,0 Days,All,7.753537736
2016SU,Physical Education--L5018,,Current Fill Rate,0 Days,All,0.238181818
2016SU,Physical Education--L5018,,Census Fill Rate,0 Days,All,0.238181818
2016SU,Physical Education--L5018,,Census Enrollment,0 Days,All,131
2016SU,Physical Education--L5018,,Number Successful,0 Days,All,186
2016SU,Physical Education--L5018,,Ftef,0 Days,All,1.696
2016SU,Physical Education--L5018,,Ftes,0 Days,All,13.15
2016SU,Physical Education--L5018,,Enrollment Capacity,0 Days,All,550
2016SU,Physical Education--L5018,,Count of Migrated Data,0 Days,All,14
2016SU,Physical Education--L5018,,Current Enrollment,0 Days,All,131
2016SU,Physical Science--B5008,,Wsch/Ftef,0 Days,All,515
2016SU,Physical Science--B5008,,Success Rate,0 Days,All,0.783783784
2016SU,Physical Science--B5008,,Sec. Count,0 Days,All,1
2016SU,Physical Science--B5008,,Retention Rate,0 Days,All,0.864864865
2016SU,Physical Science--B5008,,Number Retained,0 Days,All,32
2016SU,Physical Science--B5008,,Ftes/Ftef,0 Days,All,17.15
2016SU,Physical Science--B5008,,Current Fill Rate,0 Days,All,0.755555556
2016SU,Physical Science--B5008,,Census Fill Rate,0 Days,All,0.755555556
2016SU,Physical Science--B5008,,Census Enrollment,0 Days,All,34
2016SU,Physical Science--B5008,,Number Successful,0 Days,All,29
2016SU,Physical Science--B5008,,Ftef,0 Days,All,0.2
2016SU,Physical Science--B5008,,Ftes,0 Days,All,3.43
2016SU,Physical Science--B5008,,Enrollment Capacity,0 Days,All,45
2016SU,Physical Science--B5008,,Count of Migrated Data,0 Days,All,1
2016SU,Physical Science--B5008,,Current Enrollment,0 Days,All,34
2016SU,Physical Science--L5008,,Wsch/Ftef,0 Days,All,561.568627451
2016SU,Physical Science--L5008,,Success Rate,0 Days,All,0.827160494
2016SU,Physical Science--L5008,,Sec. Count,0 Days,All,7
2016SU,Physical Science--L5008,,Retention Rate,0 Days,All,0.942386831
2016SU,Physical Science--L5008,,Number Retained,0 Days,All,229
2016SU,Physical Science--L5008,,Ftes/Ftef,0 Days,All,18.709803922
2016SU,Physical Science--L5008,,Current Fill Rate,0 Days,All,0.879377432
2016SU,Physical Science--L5008,,Census Fill Rate,0 Days,All,0.879377432
2016SU,Physical Science--L5008,,Census Enrollment,0 Days,All,226
2016SU,Physical Science--L5008,,Number Successful,0 Days,All,201
2016SU,Physical Science--L5008,,Ftef,0 Days,All,2.55
2016SU,Physical Science--L5008,,Ftes,0 Days,All,47.71
2016SU,Physical Science--L5008,,Enrollment Capacity,0 Days,All,257
2016SU,Physical Science--L5008,,Count of Migrated Data,0 Days,All,7
2016SU,Physical Science--L5008,,Current Enrollment,0 Days,All,226
2016SU,Recording Arts--L5006,,Wsch/Ftef,0 Days,All,167.844522968
2016SU,Recording Arts--L5006,,Success Rate,0 Days,All,0.833333333
2016SU,Recording Arts--L5006,,Sec. Count,0 Days,All,2
2016SU,Recording Arts--L5006,,Retention Rate,0 Days,All,0.875
2016SU,Recording Arts--L5006,,Number Retained,0 Days,All,21
2016SU,Recording Arts--L5006,,Ftes/Ftef,0 Days,All,5.812720848
2016SU,Recording Arts--L5006,,Current Fill Rate,0 Days,All,0.316666667
2016SU,Recording Arts--L5006,,Census Fill Rate,0 Days,All,0.316666667
2016SU,Recording Arts--L5006,,Census Enrollment,0 Days,All,19
2016SU,Recording Arts--L5006,,Number Successful,0 Days,All,20
2016SU,Recording Arts--L5006,,Ftef,0 Days,All,0.566
2016SU,Recording Arts--L5006,,Ftes,0 Days,All,3.29
2016SU,Recording Arts--L5006,,Enrollment Capacity,0 Days,All,60
2016SU,Recording Arts--L5006,,Count of Migrated Data,0 Days,All,2
2016SU,Recording Arts--L5006,,Current Enrollment,0 Days,All,19
2016SU,Social Science--B5007,,Wsch/Ftef,0 Days,All,570
2016SU,Social Science--B5007,,Success Rate,0 Days,All,0.9
2016SU,Social Science--B5007,,Sec. Count,0 Days,All,3
2016SU,Social Science--B5007,,Retention Rate,0 Days,All,0.95
2016SU,Social Science--B5007,,Number Retained,0 Days,All,95
2016SU,Social Science--B5007,,Ftes/Ftef,0 Days,All,18.983333333
2016SU,Social Science--B5007,,Current Fill Rate,0 Days,All,0.941666667
2016SU,Social Science--B5007,,Census Fill Rate,0 Days,All,0.941666667
2016SU,Social Science--B5007,,Census Enrollment,0 Days,All,113
2016SU,Social Science--B5007,,Number Successful,0 Days,All,90
2016SU,Social Science--B5007,,Ftef,0 Days,All,0.6
2016SU,Social Science--B5007,,Ftes,0 Days,All,11.39
2016SU,Social Science--B5007,,Enrollment Capacity,0 Days,All,120
2016SU,Social Science--B5007,,Count of Migrated Data,0 Days,All,3
2016SU,Social Science--B5007,,Current Enrollment,0 Days,All,113
2016SU,Social Science--L5007,,Wsch/Ftef,0 Days,All,581.818181818
2016SU,Social Science--L5007,,Success Rate,0 Days,All,0.840314136
2016SU,Social Science--L5007,,Sec. Count,0 Days,All,9
2016SU,Social Science--L5007,,Retention Rate,0 Days,All,0.918848168
2016SU,Social Science--L5007,,Number Retained,0 Days,All,351
2016SU,Social Science--L5007,,Ftes/Ftef,0 Days,All,19.122727273
2016SU,Social Science--L5007,,Current Fill Rate,0 Days,All,0.946067416
2016SU,Social Science--L5007,,Census Fill Rate,0 Days,All,0.946067416
2016SU,Social Science--L5007,,Census Enrollment,0 Days,All,421
2016SU,Social Science--L5007,,Number Successful,0 Days,All,321
2016SU,Social Science--L5007,,Ftef,0 Days,All,2.2
2016SU,Social Science--L5007,,Ftes,0 Days,All,42.07
2016SU,Social Science--L5007,,Enrollment Capacity,0 Days,All,445
2016SU,Social Science--L5007,,Count of Migrated Data,0 Days,All,9
2016SU,Social Science--L5007,,Current Enrollment,0 Days,All,421
2016SU,Vocational Technology--L6011,,Wsch/Ftef,0 Days,All,394.765539804
2016SU,Vocational Technology--L6011,,Success Rate,0 Days,All,0.823529412
2016SU,Vocational Technology--L6011,,Sec. Count,0 Days,All,5
2016SU,Vocational Technology--L6011,,Retention Rate,0 Days,All,0.901960784
2016SU,Vocational Technology--L6011,,Number Retained,0 Days,All,92
2016SU,Vocational Technology--L6011,,Ftes/Ftef,0 Days,All,13.162486369
2016SU,Vocational Technology--L6011,,Current Fill Rate,0 Days,All,0.6953125
2016SU,Vocational Technology--L6011,,Census Fill Rate,0 Days,All,0.6953125
2016SU,Vocational Technology--L6011,,Census Enrollment,0 Days,All,89
2016SU,Vocational Technology--L6011,,Number Successful,0 Days,All,84
2016SU,Vocational Technology--L6011,,Ftef,0 Days,All,0.917
2016SU,Vocational Technology--L6011,,Ftes,0 Days,All,12.07
2016SU,Vocational Technology--L6011,,Enrollment Capacity,0 Days,All,128
2016SU,Vocational Technology--L6011,,Count of Migrated Data,0 Days,All,5
2016SU,Vocational Technology--L6011,,Current Enrollment,0 Days,All,89
2016SU,Work Experience--L7004,,Wsch/Ftef,0 Days,All,852.941176471
2016SU,Work Experience--L7004,,Success Rate,0 Days,All,1
2016SU,Work Experience--L7004,,Sec. Count,0 Days,All,3
2016SU,Work Experience--L7004,,Retention Rate,0 Days,All,1
2016SU,Work Experience--L7004,,Number Retained,0 Days,All,16
2016SU,Work Experience--L7004,,Ftes/Ftef,0 Days,All,16.470588235
2016SU,Work Experience--L7004,,Current Fill Rate,0 Days,All,0.058333333
